2025-03-20T18:40:37.630847-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=99, sum[1...99]=4950, Running on core:3
2025-03-20T18:40:37.630949-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=100, sum[1...100]=5050, Running on core:3
2025-03-20T18:40:37.631022-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=101, sum[1...101]=5151, Running on core:3
2025-03-20T18:40:37.631093-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=102, sum[1...102]=5253, Running on core:3
2025-03-20T18:40:37.631166-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=103, sum[1...103]=5356, Running on core:3
2025-03-20T18:40:37.631236-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=104, sum[1...104]=5460, Running on core:3
2025-03-20T18:40:37.631309-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=105, sum[1...105]=5565, Running on core:3
2025-03-20T18:40:37.631392-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=106, sum[1...106]=5671, Running on core:3
2025-03-20T18:40:37.631478-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=107, sum[1...107]=5778, Running on core:3
2025-03-20T18:40:37.631540-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=108, sum[1...108]=5886, Running on core:3
2025-03-20T18:40:37.631626-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=109, sum[1...109]=5995, Running on core:3
2025-03-20T18:40:37.631688-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=110, sum[1...110]=6105, Running on core:3
2025-03-20T18:40:37.631755-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=111, sum[1...111]=6216, Running on core:3
2025-03-20T18:40:37.631830-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=112, sum[1...112]=6328, Running on core:3
2025-03-20T18:40:37.631906-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=113, sum[1...113]=6441, Running on core:3
2025-03-20T18:40:37.631980-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=114, sum[1...114]=6555, Running on core:3
2025-03-20T18:40:37.632058-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=115, sum[1...115]=6670, Running on core:3
2025-03-20T18:40:37.632128-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=116, sum[1...116]=6786, Running on core:3
2025-03-20T18:40:37.632195-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=117, sum[1...117]=6903, Running on core:3
2025-03-20T18:40:37.632263-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=118, sum[1...118]=7021, Running on core:3
2025-03-20T18:40:37.632353-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=119, sum[1...119]=7140, Running on core:3
2025-03-20T18:40:37.632419-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=120, sum[1...120]=7260, Running on core:3
2025-03-20T18:40:37.632506-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=121, sum[1...121]=7381, Running on core:3
2025-03-20T18:40:37.632590-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=122, sum[1...122]=7503, Running on core:3
2025-03-20T18:40:37.632709-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=123, sum[1...123]=7626, Running on core:3
2025-03-20T18:40:37.632822-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=124, sum[1...124]=7750, Running on core:3
2025-03-20T18:40:37.632904-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=125, sum[1...125]=7875, Running on core:3
2025-03-20T18:40:37.632978-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=126, sum[1...126]=8001, Running on core:3
2025-03-20T18:40:37.633044-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=127, sum[1...127]=8128, Running on core:3
2025-03-20T18:40:37.633122-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=128, sum[1...128]=8256, Running on core:3
